Date,Haier
2016/6/1,8.261758
2016/6/2,8.424819
2016/6/3,8.488231
2016/6/6,8.397643
2016/6/7,8.379523
2016/6/8,8.316113
2016/6/13,8.06246
2016/6/14,8.08058
2016/6/15,8.189286
2016/6/16,8.044342
2016/6/17,8.071519
2016/6/20,8.06246
2016/6/21,7.989989
2016/6/22,8.044342
2016/6/23,7.971872
2016/6/24,7.817869
2016/6/27,7.971872
2016/6/28,7.962812
2016/6/29,7.999049
2016/6/30,8.044342
2016/7/1,8.071519
2016/7/4,8.288935
2016/7/5,8.370465
2016/7/6,8.352346
2016/7/7,8.66941
2016/7/8,8.651294
2016/7/11,8.57882
2016/7/12,9.376009
2016/7/13,9.258243
2016/7/14,9.158593
2016/7/15,9.385067
2016/7/18,9.394125
2016/7/19,9.149535
2016/7/20,9.240124
2016/7/21,9.439421
2016/7/22,9.357889
2016/7/25,9.294477
2016/7/26,9.573831
2016/7/27,9.527579
2016/7/28,9.916083
2016/7/29,10.119584
2016/8/1,9.786581
2016/8/2,9.758831
2016/8/3,9.814331
2016/8/4,9.629331
2016/8/5,9.67558
2016/8/8,9.712581
2016/8/9,9.832832
2016/8/10,9.67558
2016/8/11,9.499829
2016/8/12,9.610831
2016/8/15,9.842082
2016/8/16,9.740331
2016/8/17,9.768082
2016/8/18,9.666331
2016/8/19,9.527579
2016/8/22,9.490579
2016/8/23,9.490579
2016/8/24,9.481329
2016/8/25,9.444328
2016/8/26,9.462828
2016/8/29,9.425828
2016/8/30,9.53683
2016/8/31,9.69408
2016/9/1,9.573831
2016/9/2,9.916083
2016/9/5,9.805082
2016/9/6,9.879083
2016/9/7,9.731081
2016/9/8,9.67558
2016/9/9,9.499829
2016/9/12,9.453579
2016/9/13,9.425828
2016/9/14,9.296327
2016/9/19,9.842082
2016/9/20,9.721831
2016/9/21,9.58308
2016/9/22,9.70333
2016/9/23,9.647831
2016/9/26,9.342578
2016/9/27,9.425828
2016/9/28,9.342578
2016/9/29,9.342578
2016/9/30,9.379578
2016/10/10,9.573831
2016/10/11,9.54608
2016/10/12,9.435078
2016/10/13,9.398078
2016/10/14,9.388827
2016/10/17,9.361077
2016/10/18,9.444328
2016/10/19,9.388827
2016/10/20,9.370328
2016/10/21,9.444328
2016/10/24,9.518329
2016/10/25,9.509079
2016/10/26,9.388827
2016/10/27,9.416578
2016/10/28,9.435078
2016/10/31,9.231578
2016/11/1,9.277827
2016/11/2,9.203828
2016/11/3,9.259329
2016/11/4,9.213078
2016/11/7,9.231578
2016/11/8,9.277827
2016/11/9,9.166827
2016/11/10,9.213078
2016/11/11,9.231578
2016/11/14,9.203828
2016/11/15,9.240828
2016/11/16,9.231578
2016/11/17,9.231578
2016/11/18,9.166827
2016/11/21,9.185328
2016/11/22,9.250078
2016/11/23,9.444328
2016/11/24,9.610831
2016/11/25,9.518329
2016/11/28,9.869832
2016/11/29,9.980834
2016/11/30,9.897582
2016/12/1,10.073335
2016/12/2,9.879083
2016/12/5,9.55533
2016/12/6,9.56458
2016/12/7,9.56458
2016/12/8,9.481329
2016/12/9,9.499829
2016/12/12,9.361077
2016/12/13,9.314827
2016/12/14,9.231578
2016/12/15,9.176078
2016/12/16,9.250078
2016/12/19,9.176078
2016/12/20,9.185328
2016/12/21,9.222328
2016/12/22,9.203828
2016/12/23,9.157577
2016/12/26,9.120576
2016/12/27,9.129827
2016/12/28,9.139076
2016/12/29,9.055825
2016/12/30,9.139076
2017/1/3,9.194577
2017/1/4,9.287077
2017/1/5,9.287077
2017/1/6,9.268578
2017/1/9,9.259329
2017/1/10,9.268578
2017/1/11,9.259329
2017/1/12,9.203828
2017/1/13,9.176078
2017/1/16,9.324077
2017/1/17,9.287077
2017/1/18,9.277827
2017/1/19,9.176078
2017/1/20,9.203828
2017/1/23,9.250078
2017/1/24,9.287077
2017/1/25,9.305577
2017/1/26,9.351827
2017/2/3,9.388827
2017/2/6,9.324077
2017/2/7,9.277827
2017/2/8,9.277827
2017/2/9,9.287077
2017/2/10,9.296327
2017/2/13,9.398078
2017/2/14,9.416578
2017/2/15,9.314827
2017/2/16,9.370328
2017/2/17,9.462828
2017/2/20,9.832832
2017/2/21,9.851332
2017/2/22,9.860582
2017/2/23,9.684831
2017/2/24,9.731081
2017/2/27,9.832832
2017/2/28,10.091834
2017/3/1,9.999334
2017/3/2,10.036335
2017/3/3,10.045585
2017/3/6,10.230585
2017/3/7,10.286085
2017/3/8,10.184335
2017/3/9,9.962335
2017/3/10,10.202834
2017/3/13,10.443337
2017/3/14,10.424838
2017/3/15,10.582088
2017/3/16,10.508087
2017/3/17,10.387836
2017/3/20,10.397087
2017/3/21,10.526587
2017/3/22,10.406337
2017/3/23,10.600588
2017/3/24,10.998343
2017/3/27,10.767091
2017/3/28,10.78559
2017/3/29,11.100092
2017/3/30,11.053842
2017/3/31,11.266594
2017/4/5,11.183344
2017/4/6,11.238844
2017/4/7,11.100092
2017/4/10,10.979841
2017/4/11,10.86884
2017/4/12,10.924341
2017/4/13,10.89659
2017/4/14,10.693089
2017/4/17,10.794841
2017/4/18,11.026093
2017/4/19,11.035342
2017/4/20,11.312843
2017/4/21,11.433095
2017/4/24,11.516347
2017/4/25,11.488596
2017/4/26,11.618098
2017/4/27,11.608848
2017/4/28,11.275843
2017/5/2,11.97885
2017/5/3,12.12685
2017/5/4,12.1176
2017/5/5,12.154601
2017/5/8,12.237851
2017/5/9,11.8956
2017/5/10,11.886351
2017/5/11,12.247102
2017/5/12,12.163851
2017/5/15,12.182351
2017/5/16,12.302604
2017/5/17,12.14535
2017/5/18,12.163851
2017/5/19,12.321103
2017/5/22,12.478354
2017/5/23,12.663356
2017/5/24,12.681857
2017/5/25,12.589355
2017/5/26,12.913107
2017/5/31,13.10736
2017/6/1,13.301611
2017/6/2,13.22761
2017/6/5,13.16286
2017/6/6,13.551364
